Title,Company,Location,Salary,min_salary,max_salary,avg_salary,salary_range,job_category,seniority,is_it_job
Brigadininkas (-ė) statybų įmonėje,UAB „Retiva“,Panevėžys,2455-2975,2455.0,2975.0,2715.0,520.0,Construction,Other,False
Pardavėja (-as) - Konsultantė (-as),UAB „ZBIGA“,Vilnius,1510-2160,1510.0,2160.0,1835.0,650.0,Sales & Customer Service,Other,False
Pardavėja (-as) - Konsultantė (-as),UAB „ZBIGA“,Kaunas,1510-2160,1510.0,2160.0,1835.0,650.0,Sales & Customer Service,Other,False
Autoelektrikas,"Platinum service, UAB",Kaunas,1300-2500,1300.0,2500.0,1900.0,1200.0,Other,Other,False
TECHNIKAS - MONTUOTOJAS,UAB „Velansta“,Vilnius,Up to 1150,1150.0,,1150.0,0.0,Engineering,Other,True
"Klientų aptarnavimo specialistai (-ės) Šiauliai, Dubijos g. 1C",UAB „Viada LT“,Šiauliai,1450-1650,1450.0,1650.0,1550.0,200.0,Sales & Customer Service,Mid,True
"Klientų aptarnavimo specialistas (-ė) Anykščiuose, Vienuolio g.",UAB „Viada LT“,Anykščiai,850-900,850.0,900.0,875.0,50.0,Sales & Customer Service,Mid,False
"Klientų aptarnavimo specialistas (-ė) Pasvalio r., Brazdigalos k.",UAB „Viada LT“,Pasvalys,900-950,900.0,950.0,925.0,50.0,Sales & Customer Service,Mid,False
"Klientų aptarnavimo specialistas (-ė) Rokiškyje, Panevėžio g. 5",UAB „Viada LT“,Rokiškis,900-950,900.0,950.0,925.0,50.0,Sales & Customer Service,Mid,False
Klientų aptarnavimo specialistas (-ė) Pabradėje,UAB „Viada LT“,Pabradė,850-950,850.0,950.0,900.0,100.0,Sales & Customer Service,Mid,False
"Klientų aptarnavimo specialistai (-ės) Vilniaus r., Avižieniuose",UAB „Viada LT“,Vilnius,950-1050,950.0,1050.0,1000.0,100.0,Sales & Customer Service,Mid,True
"Kurjeris (-ė), Vilniuje (paštomatai)","SmartPosti, UAB",Vilnius,1181-2800,1181.0,2800.0,1990.5,1619.0,Logistics & Transport,Other,True
Klientų aptarnavimo specialistai (-ės) Vilniuje,UAB „Viada LT“,Vilnius,900-1200,900.0,1200.0,1050.0,300.0,Sales & Customer Service,Mid,True
Vyresnysis mechanikas,Bolt Services LT,Vilnius,1600-1900,1600.0,1900.0,1750.0,300.0,Engineering,Senior,False
Sprichst du Deutsch? Become a Business Clients Orders Coordinator!,UAB „Transcom Worldwide Vilnius“,Vilnius,1520-1616,1520.0,1616.0,1568.0,96.0,Other,Other,False
"Klientų aptarnavimo specialistas (-ė) Vilniuje, Kirtimų g.",UAB „Viada LT“,Vilnius,1000-1100,1000.0,1100.0,1050.0,100.0,Sales & Customer Service,Mid,False
"Klientų aptarnavimo specialistas (-ė) Vilniuje, Olandų g.",UAB „Viada LT“,Vilnius,1000-1100,1000.0,1100.0,1050.0,100.0,Sales & Customer Service,Mid,False
"Klientų aptarnavimo specialistai (-ės) Vilniuje, Nemenčinės pl.",UAB „Viada LT“,Vilnius,900-1000,900.0,1000.0,950.0,100.0,Sales & Customer Service,Mid,True
"Klientų aptarnavimo specialistas (-ė) Vilniuje, Naugarduko g.",UAB „Viada LT“,Vilnius,1100-1200,1100.0,1200.0,1150.0,100.0,Sales & Customer Service,Mid,False
"Klientų aptarnavimo specialistai (-ės) Vilniuje, Dariaus ir Girėno g.",UAB „Viada LT“,Vilnius,1000-1100,1000.0,1100.0,1050.0,100.0,Sales & Customer Service,Mid,True
"Klientų aptarnavimo specialistai (-ės) Vilniuje, Ozo g.",UAB „Viada LT“,Vilnius,1000-1200,1000.0,1200.0,1100.0,200.0,Sales & Customer Service,Mid,True
Biuro patalpų valytojas (-a) 0.5 etatu miesto centre,UAB „OLYMPIC CASINO GROUP BALTIJA“,Vilnius,519,519.0,,519.0,0.0,Cleaning & Facilities,Other,False
Sprichst du Deutsch? Become a Business Clients Orders Coordinator!,UAB „Transcom Worldwide Vilnius“,Kaunas,1520-1616,1520.0,1616.0,1568.0,96.0,Other,Other,False
Suvirinimo inžinierius (-ė) - technologas (-ė) (IWE/IWT),UAB „ALVORA“,Mažeikiai,2000-2500,2000.0,2500.0,2250.0,500.0,Manufacturing & Production,Other,True
"Vairuotojas - ekspeditorius, CE kategorija (Водитель - экспедитор, СЕ категория)",UAB „Autecha“,Kaunas,1500-2000,1500.0,2000.0,1750.0,500.0,Logistics & Transport,Other,True
"Padavėjas (-a) - barmenas (-ė) sūrio ""Džiugas"" namuose, Palangoje",UAB „Čia Market“,Palanga,1500-1900,1500.0,1900.0,1700.0,400.0,Marketing & Communications,Other,False
Traktoriaus - krautuvo vairuotojas (-a),UAB „Ekonovus“,Alytus,950,950.0,,950.0,0.0,Logistics & Transport,Other,True
OPERATORIUS / MECHANIKAS – DARBAS SU PAKAVIMO LINIJOMIS,UAB „Galinta ir partneriai“,Kaunas,2095,2095.0,,2095.0,0.0,Manufacturing & Production,Other,False
LABORANTAS (-Ė),AB „Kauno energija“,Kaunas,1471-1550,1471.0,1550.0,1510.5,79.0,Other,Other,False
VADYBININKĖ (-AS) VILNIAUS KLIENTŲ APTARNAVIMO SKYRIUJE,Ignitis grupė,Vilnius,1755-2632,1755.0,2632.0,2193.5,877.0,Sales & Customer Service,Other,False
Business Development Project Manager,"EVERWEST, UAB",Vilnius,3290-4110,3290.0,4110.0,3700.0,820.0,IT Management,Other,True
Accounts Payable Analyst,UAB „COWI Lietuva“,Vilnius,1700-2200,1700.0,2200.0,1950.0,500.0,Data & Analytics,Other,True
"Grill kepėjas (-a), virėjas (-a), virtuvės darbuotojai",MB „Čikipuki purslai“,Klaipėda,6-12,960.0,1920.0,1440.0,6.0,Food Service,Other,True
Fondų ir paramos pritraukimo specialistas (-ė),UAB „Beinitas“,Klaipėda,1231-2000,1231.0,2000.0,1615.5,769.0,Other,Mid,False
Šaltkalvis - surinkėjas - pakuotojas (-ė),UAB „ROL Lithuania“,Šiauliai,1430-1600,1430.0,1600.0,1515.0,170.0,Marketing & Communications,Other,False
"Kepyklos darbuotojas (-a) naujai atidaromoje parduotuvėje Kaune (Šilainiai, Baltijos g.)",UAB „Lidl Lietuva“,Kaunas,1135-1850,1135.0,1850.0,1492.5,715.0,Retail,Other,True
SERVISO TECHNIKO ASISTENTAS (-Ė),UAB „Kavos draugas“,Vilnius,1200,1200.0,,1200.0,0.0,HR & Administration,Other,True
Vadybininkas (-ė),VšĮ Lietuvos nacionalinis radijas ir televizija,Vilnius,1800-2200,1800.0,2200.0,2000.0,400.0,IT Management,Other,True
Indų plovėja (-as),UAB „Apex Alliance Hotel Management“,Vilnius,6.40-7,1024.0,1120.0,1072.0,0.5999999999999996,Other,Other,False
RYTŲ REGIONO KLINIKŲ TINKLO VADOVAS,Company name is hidden,Vilnius,1700-2000,1700.0,2000.0,1850.0,300.0,DevOps & Systems,Other,True
IQOS salono konsultantas (-ė) Klaipėda ( terminuota sutartis metams),UAB „Manpower Lit“,Klaipėda,From 9.50,1520.0,243200.0,1520.0,0.0,Sales & Customer Service,Other,True
"Pardavėjas (-a) - konsultantas (-ė), ŠAULIŲ G. 37, MARIJAMPOLĖ","IKI Lietuva, UAB",Marijampolė,1050-1165,1050.0,1165.0,1107.5,115.0,Sales & Customer Service,Other,False
PROJEKTŲ KOORDINATORĖ (-IUS),UAB „EMC Projects“,Vilnius,2100-2630,2100.0,2630.0,2365.0,530.0,Other,Other,False
KOKYBĖS INŽINIERIUS (-Ė),UAB „Simna“,Vilnius,2200-3500,2200.0,3500.0,2850.0,1300.0,QA & Testing,Other,True
Verslo analitikų grupės komandos vadovas (-ė),ADB „Compensa Vienna Insurance Group“,Vilnius,3500-5000,3500.0,5000.0,4250.0,1500.0,IT Management,Other,True
SANDĖLININKAS (-Ė) ŠLAITUVOJE,AB „Kauno grūdai“,Prienai,1100,1100.0,,1100.0,0.0,Logistics & Transport,Other,True
"Sandėlio pagalbinis (-ė) darbuotojas (-a), Aukštieji Paneriai","EVRC, UAB",Vilnius,1058,1058.0,,1058.0,0.0,Logistics & Transport,Other,True
KLIENTŲ APTARNAVIMO SPECIALISTAS (-Ė) KAUNE arba VILNIUJE,UAB „Raben Lietuva“,Kaunas,1700,1700.0,,1700.0,0.0,Sales & Customer Service,Mid,False
Ekspedicijos grupės vadovas (-ės),UAB „Manvesta“,Vilnius,3305-4135,3305.0,4135.0,3720.0,830.0,Management,Other,False
Gamybos darbuotojai (-os)! Terminuota darbo sutartis!,UAB „Domus Decora Group“,Kaunas,1106-1304,1106.0,1304.0,1205.0,198.0,Manufacturing & Production,Other,True
Kelio darbininkas,UAB „Kauno keliai“,Kaunas,1200-1700,1200.0,1700.0,1450.0,500.0,Other,Other,False
ELEKTRIKAS - AUTOMATIKAS ŠVEDIJOJE (Išvykimas 05.17),UAB „Elviva“,Sweden,From 3000,3000.0,,3000.0,0.0,Other,Other,False
DIREKTORIUS (-Ė),Company name is hidden,Vilnius,3000-3500,3000.0,3500.0,3250.0,500.0,Management,Other,False
Personalo vadybininkė (-as),UAB „Dussmann Service“,Vilnius,1000-1500,1000.0,1500.0,1250.0,500.0,Sales & Customer Service,Other,False
Betonvežio vairuotojas,"Heidelberg Materials Lietuva Betonas, UAB",Kaunas,1300-2000,1300.0,2000.0,1650.0,700.0,Logistics & Transport,Other,True
Gamybos operatorius (-ė),UAB „GLASSBEL BALTIC“,Klaipėda,1000-1400,1000.0,1400.0,1200.0,400.0,Manufacturing & Production,Other,False
Darbuotojų saugos ir sveikatos specialistas / specialistė,AB Lietuvos oro uostai,Kaunas,2500-3000,2500.0,3000.0,2750.0,500.0,Security,Mid,True
Container Conversion Specialist / Builder,"Boxrent, UAB",Vilnius,2400-4200,2400.0,4200.0,3300.0,1800.0,Design & UI/UX,Mid,True
"Sandėlio darbuotojas (-a) parduotuvėje, Vilniuje (PC ""CUP"")",UAB „Pigu“,Vilnius,850-950,850.0,950.0,900.0,100.0,Logistics & Transport,Other,False
Serviso padalinio vadovas (-ė) Kaune,UAB „Axioma servisas“,Kaunas,5000-5400,5000.0,5400.0,5200.0,400.0,Management,Other,False
Pradinių klasių mokytoja (-as),UAB „Erudito licėjus“,Kaunas,2100-2500,2100.0,2500.0,2300.0,400.0,Education,Other,False
Junior Customer Care Specialist (Night Shifts),Girteka įmonių grupė,Vilnius,1470-1840,1470.0,1840.0,1655.0,370.0,Sales & Customer Service,Junior,False
Krovėjas (-a) Kaune (Juozapavičiaus pr.),UAB „Lidl Lietuva“,Kaunas,1135-1850,1135.0,1850.0,1492.5,715.0,Other,Other,False
Talent Acquisition - Vice President,Citco Group of Companies,Vilnius,4000-5000,4000.0,5000.0,4500.0,1000.0,Design & UI/UX,Other,True
"Pardavėjas (-a) - konsultantas (-ė), pilnas etatas, (Vynoteka, Lietuvininkų g. 68 A, Šilutė)",UAB „Gelsva“,Šilutė,1040-1200,1040.0,1200.0,1120.0,160.0,Sales & Customer Service,Other,False
Telekomunikacinių tinklų statybos vadovas Vokietijoje,EILE GmbH,Germany,5000-8000,5000.0,8000.0,6500.0,3000.0,DevOps & Systems,Other,True
"Pardavėjas - konsultantas (-ė), pilnam etatui, Vynoteka (Struikų g. 2, Šilalė)",UAB „Gelsva“,Šilalė,1040-1200,1040.0,1200.0,1120.0,160.0,Design & UI/UX,Other,True
Pradinių klasių mokytoja (-as) Vitlio licėjuje,VšĮ „Vilniaus inžinerijos ir technologijų licėjus“,Vilnius,From 1300,1300.0,,1300.0,0.0,Manufacturing & Production,Other,True
Team Lead of Accounts Payable Group,UAB „FESTO“,Kaunas,3000-3250,3000.0,3250.0,3125.0,250.0,Other,Senior,False
Mokytojo asistentas (-ė) darželyje,VšĮ „Vilniaus inžinerijos ir technologijų licėjus“,Vilnius,From 850,850.0,,850.0,0.0,HR & Administration,Other,True
Vadybininko asistentas (-ė),UAB „Midateksas“,Mažeikiai,1100-1500,1100.0,1500.0,1300.0,400.0,Sales & Customer Service,Other,False
Ikimokyklinio ugdymo mokytoja (-as) Vitlio darželyje,VšĮ „Vilniaus inžinerijos ir technologijų licėjus“,Vilnius,From 1200,1200.0,,1200.0,0.0,Manufacturing & Production,Other,True
Sales Executive,"Grand Hotel Vilnius, Curio Collection by Hilton",Vilnius,2000-2200,2000.0,2200.0,2100.0,200.0,Sales & Customer Service,Other,False
"Pardavėjas (-a) - konsultantas (-ė) 0.5 et. PPC ""AKROPOLIS"" ŠIAULIUOSE",UAB „ALAN DEKO“,Šiauliai,520-570,520.0,570.0,545.0,50.0,Sales & Customer Service,Other,False
Jaunesnysis (-ioji) Specialistas (-ė) Operacijų akcijomis skyriuje,Swedbank,Vilnius,1200-1800,1200.0,1800.0,1500.0,600.0,Other,Junior,False
"Konsultantas (-ė) klientų aptarnavimo skyriuje, Šiauliuose",AS „Citadele banka“ Lietuvos filialas,Šiauliai,1400-1800,1400.0,1800.0,1600.0,400.0,Sales & Customer Service,Other,False
Kliento patirties vadybininkė (-as),UAB „Intellectus kalbų centras“,Vilnius,From 1500,1500.0,,1500.0,0.0,Sales & Customer Service,Other,False
Gamybos operatorius (-ė),UAB „Press Glass“,Kaunas,1800-2100,1800.0,2100.0,1950.0,300.0,Manufacturing & Production,Other,False
Padavėja (-as),"Restoranų Grupė Fortas, UAB",Klaipėda,6.36,1017.6,162816.0,1017.6,0.0,Food Service,Other,False
Barmenas (-ė) - padavėjas (-a),UAB „DARNU GROUP“,Vilnius,From 1100,1100.0,,1100.0,0.0,Food Service,Other,False
Statybos / projekto vadovas (-ė),UAB „Incorpus“,Vilnius,3675-6026,3675.0,6026.0,4850.5,2351.0,Management,Other,False
Finansų patarėjas (-a) (Būsto paskolų sritis) Kaune,Luminor Bank AS Lietuvos skyrius,Kaunas,2000-2510,2000.0,2510.0,2255.0,510.0,Finance & Accounting,Other,False
Sandėlininkas (-ė) - konsultantas (-ė),AB „Lytagra“,Šakiai,1000-1300,1000.0,1300.0,1150.0,300.0,Sales & Customer Service,Other,False
Restorano vadovas (-ė),Company name is hidden,Kaunas,From 1200,1200.0,,1200.0,0.0,Management,Other,False
Transporto vadybininkas (-ė) (galime suteikti apgyvendinimą),UAB „Gedlito transportas“,Klaipėda,2450-3300,2450.0,3300.0,2875.0,850.0,Sales & Customer Service,Other,False
Skerdimo skyriaus meistras (-ė),Company name is hidden,Joniškis,1800-2200,1800.0,2200.0,2000.0,400.0,Other,Other,False
"Autošaltkalvis (Darbas su sunkvežimiais, yra galimybė apgyvendinti)",UAB „Gedlito transportas“,Klaipėda,1500-2200,1500.0,2200.0,1850.0,700.0,Logistics & Transport,Other,True
PAMAINOS VADOVAS (-Ė) • PLASTIKO GAMYBA,"TELTONIKA EMS, UAB",Vilnius,2240-2720,2240.0,2720.0,2480.0,480.0,Manufacturing & Production,Other,True
Barista (-a),UAB „Formosa LT“,Klaipėda,6.35-8,1016.0,1280.0,1148.0,1.6500000000000004,Food Service,Other,False
Operatorius (-ė) - mechanikas (-ė),Company name is hidden,Joniškis,1300-1500,1300.0,1500.0,1400.0,200.0,Manufacturing & Production,Other,False
Kompetencijų vadovas (-ė),VšĮ „Nacionalinis socialinės integracijos institutas“,Vilnius,3000-3400,3000.0,3400.0,3200.0,400.0,IT Management,Other,True
"Smulkių siuntų kurjeris (-ė), Ukmergės padalinys",UAB „AD Baltic“,Vilnius,1100-1500,1100.0,1500.0,1300.0,400.0,Logistics & Transport,Other,False
Renginių įrangos nuomos projektų vadovas (-ė),"Baltic tents, UAB",Vilnius,2200-2800,2200.0,2800.0,2500.0,600.0,IT Management,Other,True
Elektrikas - Elektros Spintų Surinkėjas (darbui Nyderlanduose),UAB „De Gilde Global Services“,Netherlands,2800-3000,2800.0,3000.0,2900.0,200.0,Design & UI/UX,Other,True
INDUSTRINIO EKSKAVATORIAUS / FRONTALINIO KRAUTUVO OPERATORIUS (-Ė),UAB „Milsa“,Vilnius,From 1400,1400.0,,1400.0,0.0,Manufacturing & Production,Other,False
Finance Master Data Specialist,UAB „Metso Global Business Services“,Vilnius,2000-2500,2000.0,2500.0,2250.0,500.0,Data & Analytics,Mid,True
Brigadininkas (-ė) statybų įmonėje,UAB „Retiva“,Panevėžys,2455-2975,2455.0,2975.0,2715.0,520.0,Construction,Other,False
Pardavėja (-as) - Konsultantė (-as),UAB „ZBIGA“,Vilnius,1510-2160,1510.0,2160.0,1835.0,650.0,Sales & Customer Service,Other,False
Pardavėja (-as) - Konsultantė (-as),UAB „ZBIGA“,Kaunas,1510-2160,1510.0,2160.0,1835.0,650.0,Sales & Customer Service,Other,False
Autoelektrikas,"Platinum service, UAB",Kaunas,1300-2500,1300.0,2500.0,1900.0,1200.0,Other,Other,False
TECHNIKAS - MONTUOTOJAS,UAB „Velansta“,Vilnius,Up to 1150,1150.0,,1150.0,0.0,Engineering,Other,True
"Klientų aptarnavimo specialistai (-ės) Šiauliai, Dubijos g. 1C",UAB „Viada LT“,Šiauliai,1450-1650,1450.0,1650.0,1550.0,200.0,Sales & Customer Service,Mid,True
"Klientų aptarnavimo specialistas (-ė) Anykščiuose, Vienuolio g.",UAB „Viada LT“,Anykščiai,850-900,850.0,900.0,875.0,50.0,Sales & Customer Service,Mid,False
"Klientų aptarnavimo specialistas (-ė) Pasvalio r., Brazdigalos k.",UAB „Viada LT“,Pasvalys,900-950,900.0,950.0,925.0,50.0,Sales & Customer Service,Mid,False
"Klientų aptarnavimo specialistas (-ė) Rokiškyje, Panevėžio g. 5",UAB „Viada LT“,Rokiškis,900-950,900.0,950.0,925.0,50.0,Sales & Customer Service,Mid,False
Klientų aptarnavimo specialistas (-ė) Pabradėje,UAB „Viada LT“,Pabradė,850-950,850.0,950.0,900.0,100.0,Sales & Customer Service,Mid,False
"Klientų aptarnavimo specialistai (-ės) Vilniaus r., Avižieniuose",UAB „Viada LT“,Vilnius,950-1050,950.0,1050.0,1000.0,100.0,Sales & Customer Service,Mid,True
"Kurjeris (-ė), Vilniuje (paštomatai)","SmartPosti, UAB",Vilnius,1181-2800,1181.0,2800.0,1990.5,1619.0,Logistics & Transport,Other,True
Klientų aptarnavimo specialistai (-ės) Vilniuje,UAB „Viada LT“,Vilnius,900-1200,900.0,1200.0,1050.0,300.0,Sales & Customer Service,Mid,True
Vyresnysis mechanikas,Bolt Services LT,Vilnius,1600-1900,1600.0,1900.0,1750.0,300.0,Engineering,Senior,False
Sprichst du Deutsch? Become a Business Clients Orders Coordinator!,UAB „Transcom Worldwide Vilnius“,Vilnius,1520-1616,1520.0,1616.0,1568.0,96.0,Other,Other,False
"Klientų aptarnavimo specialistas (-ė) Vilniuje, Kirtimų g.",UAB „Viada LT“,Vilnius,1000-1100,1000.0,1100.0,1050.0,100.0,Sales & Customer Service,Mid,False
"Klientų aptarnavimo specialistas (-ė) Vilniuje, Olandų g.",UAB „Viada LT“,Vilnius,1000-1100,1000.0,1100.0,1050.0,100.0,Sales & Customer Service,Mid,False
"Klientų aptarnavimo specialistai (-ės) Vilniuje, Nemenčinės pl.",UAB „Viada LT“,Vilnius,900-1000,900.0,1000.0,950.0,100.0,Sales & Customer Service,Mid,True
"Klientų aptarnavimo specialistas (-ė) Vilniuje, Naugarduko g.",UAB „Viada LT“,Vilnius,1100-1200,1100.0,1200.0,1150.0,100.0,Sales & Customer Service,Mid,False
"Klientų aptarnavimo specialistai (-ės) Vilniuje, Dariaus ir Girėno g.",UAB „Viada LT“,Vilnius,1000-1100,1000.0,1100.0,1050.0,100.0,Sales & Customer Service,Mid,True
"Klientų aptarnavimo specialistai (-ės) Vilniuje, Ozo g.",UAB „Viada LT“,Vilnius,1000-1200,1000.0,1200.0,1100.0,200.0,Sales & Customer Service,Mid,True
Biuro patalpų valytojas (-a) 0.5 etatu miesto centre,UAB „OLYMPIC CASINO GROUP BALTIJA“,Vilnius,519,519.0,,519.0,0.0,Cleaning & Facilities,Other,False
Sprichst du Deutsch? Become a Business Clients Orders Coordinator!,UAB „Transcom Worldwide Vilnius“,Kaunas,1520-1616,1520.0,1616.0,1568.0,96.0,Other,Other,False
Suvirinimo inžinierius (-ė) - technologas (-ė) (IWE/IWT),UAB „ALVORA“,Mažeikiai,2000-2500,2000.0,2500.0,2250.0,500.0,Manufacturing & Production,Other,True
"Vairuotojas - ekspeditorius, CE kategorija (Водитель - экспедитор, СЕ категория)",UAB „Autecha“,Kaunas,1500-2000,1500.0,2000.0,1750.0,500.0,Logistics & Transport,Other,True
"Padavėjas (-a) - barmenas (-ė) sūrio ""Džiugas"" namuose, Palangoje",UAB „Čia Market“,Palanga,1500-1900,1500.0,1900.0,1700.0,400.0,Marketing & Communications,Other,False
Traktoriaus - krautuvo vairuotojas (-a),UAB „Ekonovus“,Alytus,950,950.0,,950.0,0.0,Logistics & Transport,Other,True
OPERATORIUS / MECHANIKAS – DARBAS SU PAKAVIMO LINIJOMIS,UAB „Galinta ir partneriai“,Kaunas,2095,2095.0,,2095.0,0.0,Manufacturing & Production,Other,False
LABORANTAS (-Ė),AB „Kauno energija“,Kaunas,1471-1550,1471.0,1550.0,1510.5,79.0,Other,Other,False
VADYBININKĖ (-AS) VILNIAUS KLIENTŲ APTARNAVIMO SKYRIUJE,Ignitis grupė,Vilnius,1755-2632,1755.0,2632.0,2193.5,877.0,Sales & Customer Service,Other,False
Business Development Project Manager,"EVERWEST, UAB",Vilnius,3290-4110,3290.0,4110.0,3700.0,820.0,IT Management,Other,True
Accounts Payable Analyst,UAB „COWI Lietuva“,Vilnius,1700-2200,1700.0,2200.0,1950.0,500.0,Data & Analytics,Other,True
"Grill kepėjas (-a), virėjas (-a), virtuvės darbuotojai",MB „Čikipuki purslai“,Klaipėda,6-12,960.0,1920.0,1440.0,6.0,Food Service,Other,True
Fondų ir paramos pritraukimo specialistas (-ė),UAB „Beinitas“,Klaipėda,1231-2000,1231.0,2000.0,1615.5,769.0,Other,Mid,False
Šaltkalvis - surinkėjas - pakuotojas (-ė),UAB „ROL Lithuania“,Šiauliai,1430-1600,1430.0,1600.0,1515.0,170.0,Marketing & Communications,Other,False
"Kepyklos darbuotojas (-a) naujai atidaromoje parduotuvėje Kaune (Šilainiai, Baltijos g.)",UAB „Lidl Lietuva“,Kaunas,1135-1850,1135.0,1850.0,1492.5,715.0,Retail,Other,True
SERVISO TECHNIKO ASISTENTAS (-Ė),UAB „Kavos draugas“,Vilnius,1200,1200.0,,1200.0,0.0,HR & Administration,Other,True
Vadybininkas (-ė),VšĮ Lietuvos nacionalinis radijas ir televizija,Vilnius,1800-2200,1800.0,2200.0,2000.0,400.0,IT Management,Other,True
Indų plovėja (-as),UAB „Apex Alliance Hotel Management“,Vilnius,6.40-7,1024.0,1120.0,1072.0,0.5999999999999996,Other,Other,False
RYTŲ REGIONO KLINIKŲ TINKLO VADOVAS,Company name is hidden,Vilnius,1700-2000,1700.0,2000.0,1850.0,300.0,DevOps & Systems,Other,True
IQOS salono konsultantas (-ė) Klaipėda ( terminuota sutartis metams),UAB „Manpower Lit“,Klaipėda,From 9.50,1520.0,243200.0,1520.0,0.0,Sales & Customer Service,Other,True
"Pardavėjas (-a) - konsultantas (-ė), ŠAULIŲ G. 37, MARIJAMPOLĖ","IKI Lietuva, UAB",Marijampolė,1050-1165,1050.0,1165.0,1107.5,115.0,Sales & Customer Service,Other,False
PROJEKTŲ KOORDINATORĖ (-IUS),UAB „EMC Projects“,Vilnius,2100-2630,2100.0,2630.0,2365.0,530.0,Other,Other,False
KOKYBĖS INŽINIERIUS (-Ė),UAB „Simna“,Vilnius,2200-3500,2200.0,3500.0,2850.0,1300.0,QA & Testing,Other,True
Verslo analitikų grupės komandos vadovas (-ė),ADB „Compensa Vienna Insurance Group“,Vilnius,3500-5000,3500.0,5000.0,4250.0,1500.0,IT Management,Other,True
SANDĖLININKAS (-Ė) ŠLAITUVOJE,AB „Kauno grūdai“,Prienai,1100,1100.0,,1100.0,0.0,Logistics & Transport,Other,True
"Sandėlio pagalbinis (-ė) darbuotojas (-a), Aukštieji Paneriai","EVRC, UAB",Vilnius,1058,1058.0,,1058.0,0.0,Logistics & Transport,Other,True
KLIENTŲ APTARNAVIMO SPECIALISTAS (-Ė) KAUNE arba VILNIUJE,UAB „Raben Lietuva“,Kaunas,1700,1700.0,,1700.0,0.0,Sales & Customer Service,Mid,False
Ekspedicijos grupės vadovas (-ės),UAB „Manvesta“,Vilnius,3305-4135,3305.0,4135.0,3720.0,830.0,Management,Other,False
Gamybos darbuotojai (-os)! Terminuota darbo sutartis!,UAB „Domus Decora Group“,Kaunas,1106-1304,1106.0,1304.0,1205.0,198.0,Manufacturing & Production,Other,True
Kelio darbininkas,UAB „Kauno keliai“,Kaunas,1200-1700,1200.0,1700.0,1450.0,500.0,Other,Other,False
ELEKTRIKAS - AUTOMATIKAS ŠVEDIJOJE (Išvykimas 05.17),UAB „Elviva“,Sweden,From 3000,3000.0,,3000.0,0.0,Other,Other,False
DIREKTORIUS (-Ė),Company name is hidden,Vilnius,3000-3500,3000.0,3500.0,3250.0,500.0,Management,Other,False
Personalo vadybininkė (-as),UAB „Dussmann Service“,Vilnius,1000-1500,1000.0,1500.0,1250.0,500.0,Sales & Customer Service,Other,False
Betonvežio vairuotojas,"Heidelberg Materials Lietuva Betonas, UAB",Kaunas,1300-2000,1300.0,2000.0,1650.0,700.0,Logistics & Transport,Other,True
Gamybos operatorius (-ė),UAB „GLASSBEL BALTIC“,Klaipėda,1000-1400,1000.0,1400.0,1200.0,400.0,Manufacturing & Production,Other,False
Darbuotojų saugos ir sveikatos specialistas / specialistė,AB Lietuvos oro uostai,Kaunas,2500-3000,2500.0,3000.0,2750.0,500.0,Security,Mid,True
Container Conversion Specialist / Builder,"Boxrent, UAB",Vilnius,2400-4200,2400.0,4200.0,3300.0,1800.0,Design & UI/UX,Mid,True
"Sandėlio darbuotojas (-a) parduotuvėje, Vilniuje (PC ""CUP"")",UAB „Pigu“,Vilnius,850-950,850.0,950.0,900.0,100.0,Logistics & Transport,Other,False
Serviso padalinio vadovas (-ė) Kaune,UAB „Axioma servisas“,Kaunas,5000-5400,5000.0,5400.0,5200.0,400.0,Management,Other,False
Pradinių klasių mokytoja (-as),UAB „Erudito licėjus“,Kaunas,2100-2500,2100.0,2500.0,2300.0,400.0,Education,Other,False
Junior Customer Care Specialist (Night Shifts),Girteka įmonių grupė,Vilnius,1470-1840,1470.0,1840.0,1655.0,370.0,Sales & Customer Service,Junior,False
Krovėjas (-a) Kaune (Juozapavičiaus pr.),UAB „Lidl Lietuva“,Kaunas,1135-1850,1135.0,1850.0,1492.5,715.0,Other,Other,False
Talent Acquisition - Vice President,Citco Group of Companies,Vilnius,4000-5000,4000.0,5000.0,4500.0,1000.0,Design & UI/UX,Other,True
"Pardavėjas (-a) - konsultantas (-ė), pilnas etatas, (Vynoteka, Lietuvininkų g. 68 A, Šilutė)",UAB „Gelsva“,Šilutė,1040-1200,1040.0,1200.0,1120.0,160.0,Sales & Customer Service,Other,False
Telekomunikacinių tinklų statybos vadovas Vokietijoje,EILE GmbH,Germany,5000-8000,5000.0,8000.0,6500.0,3000.0,DevOps & Systems,Other,True
"Pardavėjas - konsultantas (-ė), pilnam etatui, Vynoteka (Struikų g. 2, Šilalė)",UAB „Gelsva“,Šilalė,1040-1200,1040.0,1200.0,1120.0,160.0,Design & UI/UX,Other,True
Pradinių klasių mokytoja (-as) Vitlio licėjuje,VšĮ „Vilniaus inžinerijos ir technologijų licėjus“,Vilnius,From 1300,1300.0,,1300.0,0.0,Manufacturing & Production,Other,True
Team Lead of Accounts Payable Group,UAB „FESTO“,Kaunas,3000-3250,3000.0,3250.0,3125.0,250.0,Other,Senior,False
Mokytojo asistentas (-ė) darželyje,VšĮ „Vilniaus inžinerijos ir technologijų licėjus“,Vilnius,From 850,850.0,,850.0,0.0,HR & Administration,Other,True
