Company,Position Title,Salary Range (€),Seniority Level,Publishing Date,Skills Required,City,Job Link
Tietoevry,QA Engineer,"3,500 – 5,500",Senior,2025-04-03,"C#, Docker, AWS, Angular",Šiauliai,https://www.linkedin.com/jobs/view/tietoevry-qa-engineer-in-šiauliai/
Devbridge,IT Project Manager,"4,000 – 6,000",Senior,2025-04-07,"CI/CD, Windows Server, Microservices, Agile",Kaunas,https://www.linkedin.com/jobs/view/devbridge-it-project-manager-in-kaunas/
Tesonet,DevOps Engineer,"4,000 – 6,000",Senior,2025-04-26,"NoSQL, C#, CI/CD, Azure",Šiauliai,https://www.linkedin.com/jobs/view/tesonet-devops-engineer-in-šiauliai/
SEB,Product Manager,"5,000+",Lead,2025-04-12,"Java, Scrum, Linux, Docker",Panevėžys,https://www.linkedin.com/jobs/view/seb-product-manager-in-panevėžys/
GetJet Airlines,Cybersecurity Specialist,"5,000+",Mid,2025-04-27,"React, Azure, Scrum, Docker",Panevėžys,https://www.linkedin.com/jobs/view/getjet-airlines-cybersecurity-specialist-in-panevėžys/
Adform,IT Project Manager,"5,000+",Junior,2025-04-21,"Kubernetes, CI/CD, AWS, Scrum",Šiauliai,https://www.linkedin.com/jobs/view/adform-it-project-manager-in-šiauliai/
SEB,Mobile App Developer,"5,000+",Junior,2025-04-21,"Windows Server, C#, AWS, Microservices",Panevėžys,https://www.linkedin.com/jobs/view/seb-mobile-app-developer-in-panevėžys/
Planner5d,Data Engineer,"4,000 – 6,000",Lead,2025-04-02,"Linux, NoSQL, React, Agile",Klaipėda,https://www.linkedin.com/jobs/view/planner5d-data-engineer-in-klaipėda/
Cognizant,Frontend Developer,"2,000 – 3,000",Mid,2025-04-13,"NoSQL, Scrum, Kubernetes, AWS",Kaunas,https://www.linkedin.com/jobs/view/cognizant-frontend-developer-in-kaunas/
Planner5d,Mobile App Developer,"5,000+",Junior,2025-04-11,"Kubernetes, Microservices, Azure, Linux",Panevėžys,https://www.linkedin.com/jobs/view/planner5d-mobile-app-developer-in-panevėžys/
Flo Health,Cloud Architect,"2,500 – 4,000",Senior,2025-04-13,"Scrum, NoSQL, Azure, Java",Kaunas,https://www.linkedin.com/jobs/view/flo-health-cloud-architect-in-kaunas/
Revolut,Frontend Developer,"4,000 – 6,000",Lead,2025-04-01,"CI/CD, Angular, Docker, NoSQL",Kaunas,https://www.linkedin.com/jobs/view/revolut-frontend-developer-in-kaunas/
SEB,IT Business Analyst,"3,500 – 5,500",Junior,2025-04-06,"Agile, Azure, Kubernetes, Microservices",Panevėžys,https://www.linkedin.com/jobs/view/seb-it-business-analyst-in-panevėžys/
Cognizant,Mobile App Developer,"4,000 – 6,000",Senior,2025-04-07,"Azure, Scrum, Agile, C#",Panevėžys,https://www.linkedin.com/jobs/view/cognizant-mobile-app-developer-in-panevėžys/
Sanitex Lietuva,Mobile App Developer,"3,000 – 5,000",Lead,2025-04-17,"AWS, Windows Server, React, Java",Klaipėda,https://www.linkedin.com/jobs/view/sanitex-lietuva-mobile-app-developer-in-klaipėda/
Barclays Lithuania,Mobile App Developer,"3,000 – 5,000",Mid-Senior,2025-04-08,"Python, Agile, React, Windows Server",Kaunas,https://www.linkedin.com/jobs/view/barclays-lithuania-mobile-app-developer-in-kaunas/
Devbridge,Product Manager,"3,500 – 5,500",Mid,2025-03-29,"React, SQL, Docker, AWS",Šiauliai,https://www.linkedin.com/jobs/view/devbridge-product-manager-in-šiauliai/
Adform,Software Engineer,"2,500 – 4,000",Lead,2025-04-05,"Kubernetes, Azure, Angular, Linux",Panevėžys,https://www.linkedin.com/jobs/view/adform-software-engineer-in-panevėžys/
IBM Lithuania,Frontend Developer,"3,500 – 5,500",Junior,2025-04-14,"Docker, Microservices, Angular, CI/CD",Kaunas,https://www.linkedin.com/jobs/view/ibm-lithuania-frontend-developer-in-kaunas/
Vinted,Cybersecurity Specialist,"3,000 – 5,000",Mid-Senior,2025-04-01,"Angular, Java, C#, Kubernetes",Panevėžys,https://www.linkedin.com/jobs/view/vinted-cybersecurity-specialist-in-panevėžys/
GetJet Airlines,Backend Developer,"3,000 – 5,000",Junior,2025-04-26,"Microservices, Azure, Python, Linux",Panevėžys,https://www.linkedin.com/jobs/view/getjet-airlines-backend-developer-in-panevėžys/
Planner5d,Data Scientist,"2,500 – 4,000",Junior,2025-04-26,"Agile, Kubernetes, React, Microservices",Kaunas,https://www.linkedin.com/jobs/view/planner5d-data-scientist-in-kaunas/
SEB,Data Scientist,"4,000 – 6,000",Senior,2025-04-05,"Microservices, Java, Angular, Agile",Kaunas,https://www.linkedin.com/jobs/view/seb-data-scientist-in-kaunas/
TransferGo,Systems Administrator,"5,000+",Mid-Senior,2025-03-29,"Java, CI/CD, React, AWS",Vilnius,https://www.linkedin.com/jobs/view/transfergo-systems-administrator-in-vilnius/
SEB,Backend Developer,"5,000+",Junior,2025-04-03,"AWS, Agile, Linux, Microservices",Panevėžys,https://www.linkedin.com/jobs/view/seb-backend-developer-in-panevėžys/
Nord Security,Software Engineer,"3,000 – 5,000",Mid,2025-04-18,"Docker, Agile, C#, Angular",Panevėžys,https://www.linkedin.com/jobs/view/nord-security-software-engineer-in-panevėžys/
Adform,Systems Administrator,"3,000 – 5,000",Mid-Senior,2025-04-24,"Agile, CI/CD, Scrum, Docker",Panevėžys,https://www.linkedin.com/jobs/view/adform-systems-administrator-in-panevėžys/
Planner5d,Frontend Developer,"2,500 – 4,000",Mid-Senior,2025-04-05,"Microservices, C#, Java, AWS",Vilnius,https://www.linkedin.com/jobs/view/planner5d-frontend-developer-in-vilnius/
Revolut,Software Engineer,"2,000 – 3,000",Mid-Senior,2025-04-09,"SQL, Microservices, Python, NoSQL",Kaunas,https://www.linkedin.com/jobs/view/revolut-software-engineer-in-kaunas/
Devbridge,Data Engineer,"3,000 – 5,000",Junior,2025-04-18,"Microservices, C#, Angular, Azure",Panevėžys,https://www.linkedin.com/jobs/view/devbridge-data-engineer-in-panevėžys/
Planner5d,Security Analyst,"2,500 – 4,000",Lead,2025-04-03,"NoSQL, Scrum, Java, CI/CD",Šiauliai,https://www.linkedin.com/jobs/view/planner5d-security-analyst-in-šiauliai/
Danske Bank,Data Scientist,"2,500 – 4,000",Senior,2025-04-20,"React, Java, Linux, Kubernetes",Panevėžys,https://www.linkedin.com/jobs/view/danske-bank-data-scientist-in-panevėžys/
Planner5d,DevOps Engineer,"4,000 – 6,000",Lead,2025-03-30,"Docker, React, SQL, Python",Klaipėda,https://www.linkedin.com/jobs/view/planner5d-devops-engineer-in-klaipėda/
Barclays Lithuania,DevOps Engineer,"3,500 – 5,500",Senior,2025-04-01,"AWS, Docker, Azure, Agile",Šiauliai,https://www.linkedin.com/jobs/view/barclays-lithuania-devops-engineer-in-šiauliai/
Devbridge,DevOps Engineer,"5,000+",Mid-Senior,2025-04-01,"AWS, NoSQL, Java, Linux",Vilnius,https://www.linkedin.com/jobs/view/devbridge-devops-engineer-in-vilnius/
Adform,Mobile App Developer,"3,500 – 5,500",Senior,2025-04-05,"React, Docker, SQL, NoSQL",Šiauliai,https://www.linkedin.com/jobs/view/adform-mobile-app-developer-in-šiauliai/
TransferGo,Data Scientist,"3,500 – 5,500",Senior,2025-04-10,"Windows Server, CI/CD, Agile, NoSQL",Kaunas,https://www.linkedin.com/jobs/view/transfergo-data-scientist-in-kaunas/
SEB,Backend Developer,"3,000 – 5,000",Mid-Senior,2025-04-26,"React, SQL, Java, C#",Vilnius,https://www.linkedin.com/jobs/view/seb-backend-developer-in-vilnius/
Wix.com,Product Manager,"3,000 – 5,000",Lead,2025-04-01,"Azure, Python, Microservices, Java",Panevėžys,https://www.linkedin.com/jobs/view/wix.com-product-manager-in-panevėžys/
SEB,Security Analyst,"3,500 – 5,500",Senior,2025-03-30,"AWS, SQL, Python, Azure",Šiauliai,https://www.linkedin.com/jobs/view/seb-security-analyst-in-šiauliai/
Tietoevry,Systems Administrator,"2,000 – 3,000",Mid-Senior,2025-04-25,"C#, AWS, SQL, Angular",Klaipėda,https://www.linkedin.com/jobs/view/tietoevry-systems-administrator-in-klaipėda/
Vinted,IT Business Analyst,"2,000 – 3,000",Junior,2025-04-05,"CI/CD, Angular, Microservices, NoSQL",Kaunas,https://www.linkedin.com/jobs/view/vinted-it-business-analyst-in-kaunas/
Barclays Lithuania,Security Analyst,"5,000+",Mid,2025-04-17,"Angular, React, Windows Server, Agile",Panevėžys,https://www.linkedin.com/jobs/view/barclays-lithuania-security-analyst-in-panevėžys/
Revolut,DevOps Engineer,"2,500 – 4,000",Senior,2025-04-21,"Java, Kubernetes, AWS, Windows Server",Panevėžys,https://www.linkedin.com/jobs/view/revolut-devops-engineer-in-panevėžys/
Devbridge,Security Analyst,"3,500 – 5,500",Junior,2025-04-13,"Python, Azure, NoSQL, Angular",Šiauliai,https://www.linkedin.com/jobs/view/devbridge-security-analyst-in-šiauliai/
GetJet Airlines,Cybersecurity Specialist,"3,000 – 5,000",Junior,2025-03-29,"CI/CD, C#, Agile, Angular",Vilnius,https://www.linkedin.com/jobs/view/getjet-airlines-cybersecurity-specialist-in-vilnius/
Vinted,Data Engineer,"2,000 – 3,000",Mid,2025-04-21,"AWS, Python, CI/CD, Angular",Klaipėda,https://www.linkedin.com/jobs/view/vinted-data-engineer-in-klaipėda/
Wix.com,Mobile App Developer,"2,500 – 4,000",Mid-Senior,2025-04-25,"AWS, CI/CD, C#, NoSQL",Panevėžys,https://www.linkedin.com/jobs/view/wix.com-mobile-app-developer-in-panevėžys/
Vinted,IT Business Analyst,"5,000+",Lead,2025-03-31,"NoSQL, Linux, AWS, C#",Klaipėda,https://www.linkedin.com/jobs/view/vinted-it-business-analyst-in-klaipėda/
Revolut,Cloud Architect,"4,000 – 6,000",Junior,2025-03-30,"Microservices, Windows Server, Scrum, NoSQL",Vilnius,https://www.linkedin.com/jobs/view/revolut-cloud-architect-in-vilnius/
Nord Security,Systems Administrator,"4,000 – 6,000",Junior,2025-04-10,"Scrum, Python, CI/CD, NoSQL",Šiauliai,https://www.linkedin.com/jobs/view/nord-security-systems-administrator-in-šiauliai/
IBM Lithuania,IT Business Analyst,"3,500 – 5,500",Mid,2025-04-22,"NoSQL, Scrum, React, Microservices",Klaipėda,https://www.linkedin.com/jobs/view/ibm-lithuania-it-business-analyst-in-klaipėda/
Planner5d,Backend Developer,"5,000+",Senior,2025-04-04,"Azure, Angular, Python, Linux",Vilnius,https://www.linkedin.com/jobs/view/planner5d-backend-developer-in-vilnius/
Danske Bank,Cybersecurity Specialist,"3,000 – 5,000",Junior,2025-04-10,"NoSQL, Windows Server, SQL, Microservices",Vilnius,https://www.linkedin.com/jobs/view/danske-bank-cybersecurity-specialist-in-vilnius/
Devbridge,DevOps Engineer,"4,000 – 6,000",Senior,2025-04-05,"AWS, SQL, Linux, CI/CD",Klaipėda,https://www.linkedin.com/jobs/view/devbridge-devops-engineer-in-klaipėda/
Adform,DevOps Engineer,"3,500 – 5,500",Senior,2025-04-16,"Agile, CI/CD, Kubernetes, Linux",Panevėžys,https://www.linkedin.com/jobs/view/adform-devops-engineer-in-panevėžys/
Wix.com,Data Scientist,"5,000+",Mid-Senior,2025-04-14,"Microservices, Docker, Kubernetes, SQL",Klaipėda,https://www.linkedin.com/jobs/view/wix.com-data-scientist-in-klaipėda/
Cognizant,Software Engineer,"3,000 – 5,000",Mid,2025-04-21,"React, SQL, NoSQL, CI/CD",Vilnius,https://www.linkedin.com/jobs/view/cognizant-software-engineer-in-vilnius/
Barclays Lithuania,QA Engineer,"5,000+",Junior,2025-04-15,"CI/CD, Kubernetes, Agile, SQL",Klaipėda,https://www.linkedin.com/jobs/view/barclays-lithuania-qa-engineer-in-klaipėda/
Wix.com,Cybersecurity Specialist,"3,000 – 5,000",Mid-Senior,2025-04-25,"CI/CD, Microservices, C#, Windows Server",Klaipėda,https://www.linkedin.com/jobs/view/wix.com-cybersecurity-specialist-in-klaipėda/
IBM Lithuania,Mobile App Developer,"3,000 – 5,000",Senior,2025-04-17,"NoSQL, Microservices, Docker, SQL",Kaunas,https://www.linkedin.com/jobs/view/ibm-lithuania-mobile-app-developer-in-kaunas/
TransferGo,Product Manager,"3,000 – 5,000",Senior,2025-03-29,"Microservices, Docker, Linux, C#",Šiauliai,https://www.linkedin.com/jobs/view/transfergo-product-manager-in-šiauliai/
IBM Lithuania,Mobile App Developer,"2,000 – 3,000",Lead,2025-04-28,"Kubernetes, Scrum, SQL, Windows Server",Šiauliai,https://www.linkedin.com/jobs/view/ibm-lithuania-mobile-app-developer-in-šiauliai/
IBM Lithuania,Cloud Architect,"3,500 – 5,500",Lead,2025-04-24,"CI/CD, Python, Scrum, SQL",Šiauliai,https://www.linkedin.com/jobs/view/ibm-lithuania-cloud-architect-in-šiauliai/
Nord Security,DevOps Engineer,"3,000 – 5,000",Senior,2025-03-31,"NoSQL, Linux, Java, Microservices",Kaunas,https://www.linkedin.com/jobs/view/nord-security-devops-engineer-in-kaunas/
SEB,Data Scientist,"4,000 – 6,000",Mid,2025-04-19,"Agile, Python, SQL, React",Panevėžys,https://www.linkedin.com/jobs/view/seb-data-scientist-in-panevėžys/
TransferGo,Data Engineer,"2,500 – 4,000",Senior,2025-04-28,"Agile, Linux, React, Scrum",Panevėžys,https://www.linkedin.com/jobs/view/transfergo-data-engineer-in-panevėžys/
Revolut,IT Project Manager,"3,500 – 5,500",Mid-Senior,2025-04-25,"Agile, Scrum, React, Angular",Klaipėda,https://www.linkedin.com/jobs/view/revolut-it-project-manager-in-klaipėda/
Danske Bank,Systems Administrator,"4,000 – 6,000",Junior,2025-04-20,"Java, Linux, Agile, Windows Server",Šiauliai,https://www.linkedin.com/jobs/view/danske-bank-systems-administrator-in-šiauliai/
Flo Health,Systems Administrator,"5,000+",Mid,2025-04-26,"Java, Scrum, Linux, Agile",Kaunas,https://www.linkedin.com/jobs/view/flo-health-systems-administrator-in-kaunas/
Barclays Lithuania,Mobile App Developer,"2,000 – 3,000",Junior,2025-04-28,"C#, Java, NoSQL, Microservices",Klaipėda,https://www.linkedin.com/jobs/view/barclays-lithuania-mobile-app-developer-in-klaipėda/
Moody's Lithuania,IT Project Manager,"2,500 – 4,000",Junior,2025-04-23,"Windows Server, Azure, Microservices, Linux",Klaipėda,https://www.linkedin.com/jobs/view/moody's-lithuania-it-project-manager-in-klaipėda/
Devbridge,Systems Administrator,"2,000 – 3,000",Mid-Senior,2025-04-24,"Linux, Scrum, SQL, Microservices",Vilnius,https://www.linkedin.com/jobs/view/devbridge-systems-administrator-in-vilnius/
SEB,Software Engineer,"2,500 – 4,000",Mid-Senior,2025-04-04,"NoSQL, Microservices, Angular, Java",Panevėžys,https://www.linkedin.com/jobs/view/seb-software-engineer-in-panevėžys/
Adform,Mobile App Developer,"2,000 – 3,000",Mid-Senior,2025-04-23,"Scrum, AWS, Linux, Kubernetes",Klaipėda,https://www.linkedin.com/jobs/view/adform-mobile-app-developer-in-klaipėda/
Tesonet,Backend Developer,"3,000 – 5,000",Senior,2025-04-26,"Docker, AWS, Linux, SQL",Kaunas,https://www.linkedin.com/jobs/view/tesonet-backend-developer-in-kaunas/
TransferGo,Mobile App Developer,"2,500 – 4,000",Mid,2025-04-25,"C#, AWS, Azure, Java",Panevėžys,https://www.linkedin.com/jobs/view/transfergo-mobile-app-developer-in-panevėžys/
Planner5d,QA Engineer,"4,000 – 6,000",Senior,2025-04-09,"Microservices, Azure, Scrum, NoSQL",Vilnius,https://www.linkedin.com/jobs/view/planner5d-qa-engineer-in-vilnius/
Adform,IT Business Analyst,"2,000 – 3,000",Lead,2025-04-18,"Docker, Python, NoSQL, Microservices",Panevėžys,https://www.linkedin.com/jobs/view/adform-it-business-analyst-in-panevėžys/
Nord Security,IT Business Analyst,"4,000 – 6,000",Junior,2025-04-02,"Docker, Windows Server, Scrum, Microservices",Klaipėda,https://www.linkedin.com/jobs/view/nord-security-it-business-analyst-in-klaipėda/
Barclays Lithuania,Backend Developer,"5,000+",Junior,2025-04-02,"Python, React, Azure, Linux",Kaunas,https://www.linkedin.com/jobs/view/barclays-lithuania-backend-developer-in-kaunas/
SEB,Cybersecurity Specialist,"3,500 – 5,500",Mid-Senior,2025-04-16,"Microservices, Docker, Java, Agile",Klaipėda,https://www.linkedin.com/jobs/view/seb-cybersecurity-specialist-in-klaipėda/
Accenture,Cloud Architect,"5,000+",Senior,2025-04-14,"Agile, Microservices, Azure, React",Panevėžys,https://www.linkedin.com/jobs/view/accenture-cloud-architect-in-panevėžys/
Wix.com,Systems Administrator,"3,000 – 5,000",Senior,2025-04-16,"React, Angular, Java, AWS",Panevėžys,https://www.linkedin.com/jobs/view/wix.com-systems-administrator-in-panevėžys/
Barclays Lithuania,Backend Developer,"5,000+",Senior,2025-04-12,"Windows Server, Agile, Scrum, C#",Klaipėda,https://www.linkedin.com/jobs/view/barclays-lithuania-backend-developer-in-klaipėda/
Planner5d,IT Project Manager,"2,500 – 4,000",Junior,2025-04-20,"C#, SQL, Angular, React",Vilnius,https://www.linkedin.com/jobs/view/planner5d-it-project-manager-in-vilnius/
GetJet Airlines,IT Project Manager,"5,000+",Mid,2025-04-23,"Angular, NoSQL, Scrum, Azure",Šiauliai,https://www.linkedin.com/jobs/view/getjet-airlines-it-project-manager-in-šiauliai/
Danske Bank,Data Scientist,"3,500 – 5,500",Junior,2025-04-08,"Scrum, SQL, Kubernetes, C#",Šiauliai,https://www.linkedin.com/jobs/view/danske-bank-data-scientist-in-šiauliai/
GetJet Airlines,Frontend Developer,"2,000 – 3,000",Junior,2025-04-14,"Python, Angular, Scrum, Agile",Šiauliai,https://www.linkedin.com/jobs/view/getjet-airlines-frontend-developer-in-šiauliai/
Cognizant,Cybersecurity Specialist,"3,000 – 5,000",Lead,2025-04-13,"Java, Microservices, AWS, CI/CD",Šiauliai,https://www.linkedin.com/jobs/view/cognizant-cybersecurity-specialist-in-šiauliai/
Moody's Lithuania,Backend Developer,"5,000+",Lead,2025-04-24,"Linux, Java, Angular, Azure",Kaunas,https://www.linkedin.com/jobs/view/moody's-lithuania-backend-developer-in-kaunas/
TransferGo,Systems Administrator,"3,500 – 5,500",Mid,2025-04-27,"Angular, NoSQL, Java, Azure",Vilnius,https://www.linkedin.com/jobs/view/transfergo-systems-administrator-in-vilnius/
Barclays Lithuania,Frontend Developer,"2,500 – 4,000",Mid,2025-04-03,"AWS, C#, Microservices, Agile",Kaunas,https://www.linkedin.com/jobs/view/barclays-lithuania-frontend-developer-in-kaunas/
TransferGo,Backend Developer,"4,000 – 6,000",Junior,2025-04-23,"Agile, Kubernetes, SQL, Microservices",Kaunas,https://www.linkedin.com/jobs/view/transfergo-backend-developer-in-kaunas/
SEB,Frontend Developer,"3,000 – 5,000",Junior,2025-04-01,"NoSQL, SQL, Windows Server, Linux",Klaipėda,https://www.linkedin.com/jobs/view/seb-frontend-developer-in-klaipėda/
Danske Bank,Data Scientist,"3,000 – 5,000",Lead,2025-04-20,"Linux, Scrum, CI/CD, Kubernetes",Šiauliai,https://www.linkedin.com/jobs/view/danske-bank-data-scientist-in-šiauliai/
Planner5d,Backend Developer,"4,000 – 6,000",Mid,2025-04-12,"C#, NoSQL, Windows Server, CI/CD",Šiauliai,https://www.linkedin.com/jobs/view/planner5d-backend-developer-in-šiauliai/
Devbridge,Backend Developer,"5,000+",Junior,2025-04-03,"Windows Server, Linux, SQL, Python",Vilnius,https://www.linkedin.com/jobs/view/devbridge-backend-developer-in-vilnius/
Nord Security,Security Analyst,"2,500 – 4,000",Mid-Senior,2025-04-01,"CI/CD, Linux, Windows Server, Azure",Kaunas,https://www.linkedin.com/jobs/view/nord-security-security-analyst-in-kaunas/
Flo Health,Backend Developer,"3,500 – 5,500",Senior,2025-03-30,"Windows Server, Angular, CI/CD, Docker",Vilnius,https://www.linkedin.com/jobs/view/flo-health-backend-developer-in-vilnius/
Moody's Lithuania,Product Manager,"4,000 – 6,000",Mid-Senior,2025-04-21,"Scrum, Azure, Kubernetes, Agile",Šiauliai,https://www.linkedin.com/jobs/view/moody's-lithuania-product-manager-in-šiauliai/
Adform,Security Analyst,"3,500 – 5,500",Senior,2025-04-25,"Agile, Docker, Kubernetes, Java",Šiauliai,https://www.linkedin.com/jobs/view/adform-security-analyst-in-šiauliai/
Danske Bank,DevOps Engineer,"5,000+",Lead,2025-04-18,"CI/CD, C#, Microservices, SQL",Panevėžys,https://www.linkedin.com/jobs/view/danske-bank-devops-engineer-in-panevėžys/
Moody's Lithuania,Product Manager,"3,000 – 5,000",Senior,2025-04-18,"Java, Agile, CI/CD, Scrum",Kaunas,https://www.linkedin.com/jobs/view/moody's-lithuania-product-manager-in-kaunas/
Vinted,DevOps Engineer,"2,000 – 3,000",Senior,2025-04-25,"Python, Docker, NoSQL, Java",Klaipėda,https://www.linkedin.com/jobs/view/vinted-devops-engineer-in-klaipėda/
Moody's Lithuania,Software Engineer,"2,500 – 4,000",Mid,2025-04-06,"CI/CD, Agile, Docker, React",Šiauliai,https://www.linkedin.com/jobs/view/moody's-lithuania-software-engineer-in-šiauliai/
Danske Bank,Cybersecurity Specialist,"3,000 – 5,000",Mid-Senior,2025-04-03,"Microservices, Azure, Docker, Linux",Panevėžys,https://www.linkedin.com/jobs/view/danske-bank-cybersecurity-specialist-in-panevėžys/
Planner5d,Backend Developer,"3,000 – 5,000",Mid,2025-04-28,"Azure, Scrum, Kubernetes, React",Vilnius,https://www.linkedin.com/jobs/view/planner5d-backend-developer-in-vilnius/
Sanitex Lietuva,IT Project Manager,"3,500 – 5,500",Junior,2025-04-16,"Scrum, Java, CI/CD, Linux",Šiauliai,https://www.linkedin.com/jobs/view/sanitex-lietuva-it-project-manager-in-šiauliai/
Accenture,Security Analyst,"2,000 – 3,000",Lead,2025-04-11,"React, SQL, Linux, Azure",Panevėžys,https://www.linkedin.com/jobs/view/accenture-security-analyst-in-panevėžys/
Planner5d,Data Scientist,"3,500 – 5,500",Junior,2025-04-17,"Agile, Docker, SQL, Microservices",Panevėžys,https://www.linkedin.com/jobs/view/planner5d-data-scientist-in-panevėžys/
Wix.com,Frontend Developer,"4,000 – 6,000",Senior,2025-04-17,"Scrum, AWS, Agile, Python",Vilnius,https://www.linkedin.com/jobs/view/wix.com-frontend-developer-in-vilnius/
Vinted,IT Project Manager,"2,000 – 3,000",Senior,2025-04-24,"Agile, Docker, Java, NoSQL",Šiauliai,https://www.linkedin.com/jobs/view/vinted-it-project-manager-in-šiauliai/
Accenture,IT Project Manager,"5,000+",Junior,2025-04-01,"Docker, Microservices, Windows Server, Java",Vilnius,https://www.linkedin.com/jobs/view/accenture-it-project-manager-in-vilnius/
Sanitex Lietuva,Security Analyst,"2,000 – 3,000",Lead,2025-04-11,"C#, Scrum, Angular, Python",Panevėžys,https://www.linkedin.com/jobs/view/sanitex-lietuva-security-analyst-in-panevėžys/
Tesonet,Software Engineer,"3,500 – 5,500",Lead,2025-04-20,"Microservices, Kubernetes, Docker, Azure",Klaipėda,https://www.linkedin.com/jobs/view/tesonet-software-engineer-in-klaipėda/
Cognizant,QA Engineer,"2,000 – 3,000",Lead,2025-04-05,"Microservices, AWS, Linux, SQL",Šiauliai,https://www.linkedin.com/jobs/view/cognizant-qa-engineer-in-šiauliai/
Barclays Lithuania,Data Scientist,"4,000 – 6,000",Mid-Senior,2025-04-01,"React, Kubernetes, Docker, Scrum",Vilnius,https://www.linkedin.com/jobs/view/barclays-lithuania-data-scientist-in-vilnius/
Danske Bank,Product Manager,"3,000 – 5,000",Mid-Senior,2025-04-07,"Scrum, React, Microservices, Linux",Panevėžys,https://www.linkedin.com/jobs/view/danske-bank-product-manager-in-panevėžys/
Moody's Lithuania,QA Engineer,"2,000 – 3,000",Lead,2025-04-02,"NoSQL, Microservices, Python, Windows Server",Klaipėda,https://www.linkedin.com/jobs/view/moody's-lithuania-qa-engineer-in-klaipėda/
Tietoevry,Data Scientist,"2,000 – 3,000",Senior,2025-03-31,"Windows Server, Kubernetes, Docker, Angular",Klaipėda,https://www.linkedin.com/jobs/view/tietoevry-data-scientist-in-klaipėda/
Adform,Cybersecurity Specialist,"5,000+",Senior,2025-04-03,"Docker, SQL, NoSQL, Microservices",Šiauliai,https://www.linkedin.com/jobs/view/adform-cybersecurity-specialist-in-šiauliai/
Planner5d,QA Engineer,"2,000 – 3,000",Junior,2025-04-24,"Docker, Azure, NoSQL, CI/CD",Panevėžys,https://www.linkedin.com/jobs/view/planner5d-qa-engineer-in-panevėžys/
IBM Lithuania,Data Engineer,"2,500 – 4,000",Senior,2025-04-12,"Scrum, Kubernetes, SQL, Azure",Vilnius,https://www.linkedin.com/jobs/view/ibm-lithuania-data-engineer-in-vilnius/
SEB,Cybersecurity Specialist,"2,500 – 4,000",Mid-Senior,2025-04-14,"Python, Angular, Windows Server, Linux",Panevėžys,https://www.linkedin.com/jobs/view/seb-cybersecurity-specialist-in-panevėžys/
Accenture,IT Business Analyst,"4,000 – 6,000",Mid-Senior,2025-04-11,"React, Kubernetes, Microservices, CI/CD",Klaipėda,https://www.linkedin.com/jobs/view/accenture-it-business-analyst-in-klaipėda/
Accenture,IT Business Analyst,"2,500 – 4,000",Junior,2025-03-30,"C#, Windows Server, SQL, Docker",Vilnius,https://www.linkedin.com/jobs/view/accenture-it-business-analyst-in-vilnius/
Sanitex Lietuva,IT Project Manager,"3,000 – 5,000",Senior,2025-04-18,"Microservices, Angular, SQL, Azure",Panevėžys,https://www.linkedin.com/jobs/view/sanitex-lietuva-it-project-manager-in-panevėžys/
Tietoevry,Security Analyst,"3,500 – 5,500",Lead,2025-04-17,"Java, CI/CD, SQL, Kubernetes",Vilnius,https://www.linkedin.com/jobs/view/tietoevry-security-analyst-in-vilnius/
Vinted,QA Engineer,"2,500 – 4,000",Lead,2025-04-08,"Docker, React, Java, Kubernetes",Kaunas,https://www.linkedin.com/jobs/view/vinted-qa-engineer-in-kaunas/
Vinted,QA Engineer,"2,500 – 4,000",Lead,2025-04-28,"Linux, Python, AWS, Azure",Vilnius,https://www.linkedin.com/jobs/view/vinted-qa-engineer-in-vilnius/
Revolut,Mobile App Developer,"4,000 – 6,000",Lead,2025-04-09,"Microservices, C#, AWS, Windows Server",Klaipėda,https://www.linkedin.com/jobs/view/revolut-mobile-app-developer-in-klaipėda/
SEB,Security Analyst,"3,500 – 5,500",Mid,2025-04-08,"Kubernetes, AWS, Azure, Agile",Šiauliai,https://www.linkedin.com/jobs/view/seb-security-analyst-in-šiauliai/
Accenture,Product Manager,"2,000 – 3,000",Mid,2025-04-14,"Kubernetes, C#, Agile, AWS",Šiauliai,https://www.linkedin.com/jobs/view/accenture-product-manager-in-šiauliai/
Danske Bank,Software Engineer,"3,500 – 5,500",Mid-Senior,2025-04-09,"Microservices, Docker, Scrum, SQL",Panevėžys,https://www.linkedin.com/jobs/view/danske-bank-software-engineer-in-panevėžys/
Sanitex Lietuva,Cybersecurity Specialist,"4,000 – 6,000",Lead,2025-04-15,"Java, CI/CD, Microservices, React",Kaunas,https://www.linkedin.com/jobs/view/sanitex-lietuva-cybersecurity-specialist-in-kaunas/
Tietoevry,DevOps Engineer,"5,000+",Lead,2025-04-20,"React, Linux, SQL, Kubernetes",Kaunas,https://www.linkedin.com/jobs/view/tietoevry-devops-engineer-in-kaunas/
Moody's Lithuania,Frontend Developer,"2,000 – 3,000",Mid,2025-04-16,"Windows Server, SQL, Docker, C#",Panevėžys,https://www.linkedin.com/jobs/view/moody's-lithuania-frontend-developer-in-panevėžys/
GetJet Airlines,DevOps Engineer,"5,000+",Mid-Senior,2025-04-12,"C#, Docker, Windows Server, Azure",Šiauliai,https://www.linkedin.com/jobs/view/getjet-airlines-devops-engineer-in-šiauliai/
