Company,Position Title,Salary Range (€),Seniority Level,Publishing Date,Skills Required,City
Revolut,Software Engineer,"2,500 – 4,000",Mid,2025-04-05,"SQL, Docker, Python, Azure",Kaunas
Adform,DevOps Engineer,"2,500 – 4,000",Mid,2025-04-28,"Agile, Angular, Python, Microservices",Klaipėda
Devbridge,Backend Developer,"5,000+",Lead,2025-04-15,"Angular, React, Java, SQL",Panevėžys
GetJet Airlines,QA Engineer,"3,000 – 5,000",Mid-Senior,2025-04-16,"Microservices, Python, Kubernetes, Azure",Panevėžys
TransferGo,Cybersecurity Specialist,"3,000 – 5,000",Mid,2025-04-11,"Python, Angular, C#, Scrum",Vilnius
Adform,IT Business Analyst,"4,000 – 6,000",Lead,2025-04-28,"Windows Server, Kubernetes, React, SQL",Kaunas
Sanitex Lietuva,Backend Developer,"3,000 – 5,000",Junior,2025-04-19,"SQL, Agile, Docker, NoSQL",Kaunas
Flo Health,IT Business Analyst,"3,500 – 5,500",Mid-Senior,2025-04-14,"NoSQL, React, Java, CI/CD",Panevėžys
Planner5d,Product Manager,"2,500 – 4,000",Mid-Senior,2025-04-14,"Kubernetes, React, SQL, Angular",Klaipėda
Tietoevry,IT Business Analyst,"5,000+",Mid,2025-04-20,"CI/CD, Azure, Scrum, Windows Server",Šiauliai
IBM Lithuania,Data Scientist,"2,000 – 3,000",Senior,2025-04-25,"AWS, Agile, Java, Windows Server",Panevėžys
Moody's Lithuania,Cloud Architect,"2,500 – 4,000",Mid,2025-04-26,"React, Kubernetes, AWS, Python",Klaipėda
Wix.com,Security Analyst,"2,000 – 3,000",Mid-Senior,2025-03-29,"Windows Server, CI/CD, Python, Agile",Vilnius
Planner5d,Data Engineer,"4,000 – 6,000",Junior,2025-04-06,"React, Angular, Java, Azure",Klaipėda
Cognizant,DevOps Engineer,"2,500 – 4,000",Junior,2025-04-21,"Scrum, Microservices, Windows Server, Kubernetes",Šiauliai
Adform,Cybersecurity Specialist,"2,500 – 4,000",Lead,2025-04-08,"Scrum, NoSQL, Angular, SQL",Šiauliai
Sanitex Lietuva,Data Scientist,"3,500 – 5,500",Mid-Senior,2025-04-17,"Windows Server, SQL, React, CI/CD",Šiauliai
TransferGo,Systems Administrator,"5,000+",Mid-Senior,2025-04-09,"AWS, Java, Windows Server, Python",Kaunas
Tesonet,Cybersecurity Specialist,"3,500 – 5,500",Mid-Senior,2025-04-04,"AWS, CI/CD, Scrum, Java",Kaunas
Barclays Lithuania,Systems Administrator,"3,500 – 5,500",Lead,2025-04-16,"Docker, Python, AWS, Agile",Šiauliai
TransferGo,IT Business Analyst,"3,500 – 5,500",Senior,2025-04-16,"Agile, NoSQL, Windows Server, Azure",Klaipėda
Planner5d,Mobile App Developer,"4,000 – 6,000",Lead,2025-04-04,"Linux, Java, Microservices, AWS",Klaipėda
Sanitex Lietuva,IT Project Manager,"3,000 – 5,000",Junior,2025-04-03,"Linux, CI/CD, SQL, Scrum",Kaunas
GetJet Airlines,Cybersecurity Specialist,"3,000 – 5,000",Mid,2025-04-23,"Agile, Java, Linux, Angular",Kaunas
Wix.com,Data Engineer,"4,000 – 6,000",Mid-Senior,2025-04-14,"Azure, Angular, Windows Server, Docker",Panevėžys
Tietoevry,Cloud Architect,"4,000 – 6,000",Junior,2025-04-26,"React, Angular, Windows Server, Microservices",Panevėžys
Vinted,Software Engineer,"3,500 – 5,500",Lead,2025-04-06,"SQL, Linux, AWS, Agile",Vilnius
Devbridge,Data Scientist,"2,000 – 3,000",Mid,2025-04-03,"SQL, AWS, Kubernetes, Microservices",Šiauliai
Flo Health,Security Analyst,"2,000 – 3,000",Junior,2025-04-16,"AWS, React, NoSQL, Linux",Panevėžys
Cognizant,Systems Administrator,"2,500 – 4,000",Senior,2025-04-08,"React, Python, Kubernetes, Windows Server",Šiauliai
Accenture,Data Scientist,"3,500 – 5,500",Mid,2025-04-23,"CI/CD, Angular, Python, Scrum",Vilnius
Devbridge,Backend Developer,"2,500 – 4,000",Senior,2025-04-02,"Linux, NoSQL, React, Docker",Panevėžys
Cognizant,Security Analyst,"2,500 – 4,000",Mid-Senior,2025-04-28,"Windows Server, CI/CD, React, Agile",Šiauliai
Flo Health,DevOps Engineer,"2,500 – 4,000",Junior,2025-04-04,"React, Windows Server, Python, Docker",Panevėžys
Devbridge,Software Engineer,"3,500 – 5,500",Mid-Senior,2025-04-25,"Python, Windows Server, Azure, Angular",Kaunas
Nord Security,Security Analyst,"3,500 – 5,500",Junior,2025-04-06,"Azure, Scrum, NoSQL, Agile",Klaipėda
Devbridge,Product Manager,"5,000+",Mid-Senior,2025-04-01,"Kubernetes, React, Java, Angular",Klaipėda
Accenture,DevOps Engineer,"5,000+",Lead,2025-04-05,"NoSQL, AWS, Agile, Windows Server",Kaunas
Danske Bank,Mobile App Developer,"4,000 – 6,000",Mid,2025-04-03,"Scrum, Docker, Windows Server, Kubernetes",Panevėžys
Revolut,Systems Administrator,"3,000 – 5,000",Mid-Senior,2025-04-23,"NoSQL, CI/CD, Java, Microservices",Vilnius
Cognizant,Security Analyst,"3,500 – 5,500",Mid-Senior,2025-04-25,"Angular, Kubernetes, Java, Microservices",Kaunas
Tietoevry,Data Scientist,"5,000+",Junior,2025-04-14,"CI/CD, Angular, Linux, Azure",Kaunas
IBM Lithuania,Backend Developer,"2,500 – 4,000",Junior,2025-04-22,"Angular, Scrum, SQL, C#",Panevėžys
Flo Health,IT Project Manager,"3,500 – 5,500",Senior,2025-04-10,"Python, Microservices, Windows Server, CI/CD",Klaipėda
Tietoevry,Software Engineer,"2,500 – 4,000",Junior,2025-04-26,"Python, Scrum, Linux, React",Panevėžys
Devbridge,Data Scientist,"3,000 – 5,000",Mid,2025-04-09,"React, Java, Scrum, Microservices",Klaipėda
Devbridge,Software Engineer,"2,000 – 3,000",Mid,2025-04-26,"Angular, NoSQL, Kubernetes, Java",Šiauliai
SEB,Product Manager,"2,500 – 4,000",Mid,2025-04-05,"Agile, Docker, Linux, React",Šiauliai
Moody's Lithuania,Data Scientist,"3,000 – 5,000",Lead,2025-04-20,"Angular, React, CI/CD, Agile",Šiauliai
Barclays Lithuania,Frontend Developer,"2,500 – 4,000",Mid-Senior,2025-04-19,"NoSQL, Docker, Java, SQL",Kaunas
Flo Health,Data Engineer,"2,500 – 4,000",Mid-Senior,2025-04-02,"Angular, C#, Linux, React",Šiauliai
Nord Security,Cybersecurity Specialist,"2,500 – 4,000",Mid-Senior,2025-03-30,"Kubernetes, Azure, NoSQL, Microservices",Vilnius
Devbridge,Mobile App Developer,"2,500 – 4,000",Mid-Senior,2025-04-11,"Linux, Scrum, Python, SQL",Kaunas
SEB,Product Manager,"3,500 – 5,500",Mid,2025-04-09,"SQL, Azure, React, Microservices",Šiauliai
Planner5d,QA Engineer,"3,000 – 5,000",Mid,2025-04-08,"Linux, Azure, Microservices, SQL",Vilnius
Sanitex Lietuva,Systems Administrator,"2,500 – 4,000",Senior,2025-04-22,"Windows Server, Angular, Python, C#",Vilnius
IBM Lithuania,Mobile App Developer,"2,500 – 4,000",Junior,2025-04-22,"Azure, C#, SQL, Microservices",Panevėžys
Danske Bank,Cybersecurity Specialist,"3,500 – 5,500",Junior,2025-04-13,"Azure, SQL, CI/CD, NoSQL",Panevėžys
Wix.com,DevOps Engineer,"4,000 – 6,000",Mid-Senior,2025-04-01,"Microservices, Azure, Docker, Scrum",Vilnius
Danske Bank,Data Engineer,"4,000 – 6,000",Lead,2025-04-22,"Java, Agile, NoSQL, Angular",Kaunas
SEB,Mobile App Developer,"5,000+",Senior,2025-04-04,"SQL, AWS, Docker, Kubernetes",Kaunas
Sanitex Lietuva,IT Business Analyst,"4,000 – 6,000",Senior,2025-04-25,"Python, Kubernetes, AWS, Agile",Šiauliai
Sanitex Lietuva,Software Engineer,"5,000+",Senior,2025-04-27,"Java, AWS, Agile, C#",Klaipėda
Adform,Backend Developer,"5,000+",Lead,2025-04-06,"Linux, Windows Server, Azure, Python",Vilnius
Nord Security,Security Analyst,"4,000 – 6,000",Senior,2025-04-25,"Windows Server, SQL, Scrum, Docker",Kaunas
Tietoevry,Data Scientist,"5,000+",Lead,2025-04-22,"Microservices, SQL, Agile, Windows Server",Vilnius
Wix.com,Cybersecurity Specialist,"3,500 – 5,500",Lead,2025-04-26,"SQL, Linux, C#, Java",Šiauliai
Devbridge,IT Project Manager,"2,500 – 4,000",Junior,2025-04-10,"Python, Scrum, AWS, C#",Klaipėda
Devbridge,Frontend Developer,"4,000 – 6,000",Senior,2025-04-14,"Docker, Angular, Linux, Python",Panevėžys
Nord Security,Product Manager,"3,500 – 5,500",Junior,2025-04-07,"Microservices, React, Azure, Scrum",Panevėžys
Planner5d,Data Engineer,"2,500 – 4,000",Senior,2025-04-10,"Java, CI/CD, SQL, Kubernetes",Šiauliai
Devbridge,Product Manager,"2,500 – 4,000",Mid-Senior,2025-03-30,"Agile, Linux, React, Java",Klaipėda
Tietoevry,Backend Developer,"2,000 – 3,000",Junior,2025-04-10,"Azure, Kubernetes, Java, Scrum",Kaunas
Adform,QA Engineer,"2,500 – 4,000",Senior,2025-04-06,"Angular, SQL, Agile, Kubernetes",Šiauliai
Nord Security,IT Business Analyst,"4,000 – 6,000",Mid,2025-03-30,"Kubernetes, Windows Server, SQL, Microservices",Šiauliai
